Date,Open,High,Low,Close,Volume,Currency
2021-01-04,11287.38,11340.97,11274.78,11340.86,0,MAD
2021-01-05,11308.67,11327.53,11253.28,11253.7,0,MAD
2021-01-06,11253.7,11277.86,11210.15,11215.71,0,MAD
2021-01-07,11215.71,11303.69,11215.71,11271.23,0,MAD
2021-01-08,11271.23,11298.06,11244.1,11249.14,0,MAD
2021-01-12,11249.14,11296.99,11225.06,11296.99,0,MAD
2021-01-13,11296.99,11314.93,11249.53,11262.09,0,MAD
2021-01-14,11262.09,11331.13,11262.09,11326.79,0,MAD
2021-01-15,11326.79,11442.59,11315.6,11416.19,0,MAD
2021-01-18,11416.19,11465.25,11395.1,11465.25,0,MAD
2021-01-19,11465.25,11484.03,11415.41,11482.26,0,MAD
2021-01-20,11482.26,11528.87,11482.26,11516.01,0,MAD
2021-01-21,11516.01,11541.56,11504.05,11514.99,0,MAD
2021-01-22,11514.99,11567.93,11499.44,11563.73,0,MAD
2021-01-25,11563.73,11653.64,11520.85,11637.35,0,MAD
2021-01-26,11637.35,11729.33,11637.35,11716.7,0,MAD
2021-01-27,11716.7,11718.28,11695.86,11695.96,0,MAD
2021-01-28,11695.96,11701.97,11650.7,11657.63,0,MAD
2021-01-29,11657.63,11711.26,11630.01,11630.01,0,MAD
2021-02-01,11630.01,11639.89,11592.62,11637.51,0,MAD
2021-02-02,11637.51,11718.4,11637.51,11709.26,0,MAD
2021-02-03,11709.26,11758.61,11693.9,11751.1,0,MAD
2021-02-04,11751.1,11794.76,11727.85,11742.17,0,MAD
2021-02-05,11742.17,11778.18,11713.5,11713.5,0,MAD
2021-02-08,11713.5,11770.24,11700.53,11704.75,0,MAD
2021-02-09,11704.75,11710.66,11651.08,11651.23,0,MAD
2021-02-10,11651.23,11665.88,11536.64,11564.29,0,MAD
2021-02-11,11564.29,11601.86,11522.45,11592.37,0,MAD
2021-02-12,11592.37,11645.38,11556.59,11556.59,0,MAD
2021-02-15,11556.59,11588.81,11524.25,11528.24,0,MAD
2021-02-16,11528.24,11580.51,11516.22,11580.51,0,MAD
2021-02-17,11580.51,11581.05,11520.63,11521.02,0,MAD
2021-02-18,11521.02,11580.48,11521.02,11568.05,0,MAD
2021-02-19,11568.05,11578.37,11459.8,11467.04,0,MAD
2021-02-22,11467.04,11485.99,11398.09,11453.61,0,MAD
2021-02-23,11453.61,11460.88,11378.09,11381.92,0,MAD
2021-02-24,11381.92,11381.92,11251.65,11286.26,0,MAD
2021-02-25,11286.26,11353.53,11224.0,11353.53,0,MAD
2021-02-26,11353.53,11437.21,11352.88,11358.17,0,MAD
2021-03-01,11358.17,11370.5,11333.27,11352.03,0,MAD
2021-03-02,11352.03,11384.82,11332.51,11370.21,0,MAD
2021-03-03,11370.21,11380.04,11335.21,11338.98,0,MAD
