Date,Open,High,Low,Close,Volume,Currency
2005-01-03,4522.22,4522.22,4522.22,4522.22,0,MAD
2005-01-04,4520.14,4520.14,4477.78,4493.99,0,MAD
2005-01-05,4495.78,4495.78,4466.68,4494.9,0,MAD
2005-01-06,4477.15,4492.15,4477.08,4489.48,0,MAD
2005-01-07,4483.29,4494.18,4461.95,4476.5,0,MAD
2005-01-10,4476.76,4488.98,4476.07,4488.72,0,MAD
2005-01-12,4473.4,4488.22,4470.13,4487.65,0,MAD
2005-01-13,4478.68,4497.22,4477.19,4497.12,0,MAD
2005-01-14,4492.31,4505.17,4492.31,4502.26,0,MAD
2005-01-17,4500.56,4506.68,4494.9,4506.68,0,MAD
2005-01-18,4506.4,4527.14,4506.4,4527.14,0,MAD
2005-01-19,4530.37,4545.56,4529.2,4540.69,0,MAD
2005-01-20,4539.22,4548.21,4534.72,4543.64,0,MAD
2005-01-24,4539.89,4539.89,4522.94,4537.47,0,MAD
2005-01-25,4526.68,4533.0,4518.79,4531.52,0,MAD
2005-01-26,4525.49,4533.0,4518.79,4530.62,0,MAD
2005-01-27,4525.94,4543.74,4525.2,4541.83,0,MAD
2005-01-28,4542.66,4559.57,4541.11,4559.57,0,MAD
2005-01-31,4561.25,4563.55,4553.85,4562.27,0,MAD
2005-02-01,4545.5,4568.45,4544.18,4565.95,0,MAD
2005-02-02,4568.31,4583.46,4567.19,4583.46,0,MAD
2005-02-03,4582.13,4604.48,4579.43,4599.63,0,MAD
2005-02-04,4604.96,4605.9,4577.13,4579.23,0,MAD
2005-02-07,4587.72,4599.63,4584.91,4590.69,0,MAD
2005-02-08,4573.73,4576.88,4559.93,4564.91,0,MAD
2005-02-09,4543.8,4565.07,4541.91,4565.07,0,MAD
2005-02-11,4569.26,4575.63,4562.12,4573.92,0,MAD
2005-02-14,4572.09,4576.56,4562.93,4576.56,0,MAD
2005-02-15,4574.89,4576.55,4563.59,4576.55,0,MAD
2005-02-16,4543.13,4579.24,4530.75,4576.23,0,MAD
2005-02-17,4572.46,4576.05,4559.63,4574.09,0,MAD
