Date,Open,High,Low,Close,Volume,Currency
2017-01-02,11644.22,11647.52,11541.12,11564.72,0,MAD
2017-01-03,11564.72,11644.21,11518.44,11644.21,0,MAD
2017-01-04,11644.21,11871.78,11616.68,11826.73,0,MAD
2017-01-05,11826.73,12186.12,11815.6,12186.12,0,MAD
2017-01-06,12186.12,12904.99,12186.12,12572.94,0,MAD
2017-01-09,12532.22,12744.56,12526.27,12710.44,0,MAD
2017-01-10,12710.44,12915.72,12710.44,12886.32,0,MAD
2017-01-12,12886.32,12950.84,12841.7,12873.79,0,MAD
2017-01-13,12873.79,12938.29,12577.44,12722.6,0,MAD
2017-01-16,12722.6,12722.6,12576.95,12576.95,0,MAD
2017-01-17,12576.95,12603.56,12333.66,12343.08,0,MAD
2017-01-18,12343.08,12385.29,12239.18,12379.06,0,MAD
2017-01-19,12379.06,12483.41,12379.06,12425.1,0,MAD
2017-01-20,12425.1,12592.61,12397.37,12592.53,0,MAD
2017-01-23,12592.53,12592.53,12459.11,12500.05,0,MAD
2017-01-24,12500.05,12501.43,12408.11,12484.23,0,MAD
2017-01-25,12484.23,12544.63,12440.96,12521.41,0,MAD
2017-01-26,12521.41,12535.78,12407.25,12430.74,0,MAD
2017-01-27,12430.74,12509.8,12389.32,12507.99,0,MAD
2017-01-30,12507.99,12534.82,12379.8,12385.21,0,MAD
2017-01-31,12385.21,12389.53,12206.99,12228.9,0,MAD
2017-02-01,12228.9,12250.01,12159.71,12163.64,0,MAD
2017-02-02,12163.64,12253.05,12138.86,12138.86,0,MAD
2017-02-03,12138.86,12311.05,12137.77,12228.99,0,MAD
2017-02-06,12228.99,12247.66,12114.96,12247.66,0,MAD
2017-02-07,12247.66,12248.04,12165.74,12216.17,0,MAD
2017-02-08,12216.17,12302.29,12216.17,12297.32,0,MAD
2017-02-09,12297.32,12329.28,12262.41,12287.11,0,MAD
2017-02-10,12287.11,12287.98,12211.23,12233.88,0,MAD
2017-02-13,12233.88,12367.76,12220.41,12367.76,0,MAD
2017-02-14,12367.76,12370.33,12225.87,12277.57,0,MAD
2017-02-15,12277.57,12296.4,12229.74,12279.53,0,MAD
2017-02-16,12279.53,12302.4,12245.42,12281.34,0,MAD
2017-02-17,12281.34,12288.58,12165.07,12165.07,0,MAD
2017-02-20,12165.07,12246.85,12159.96,12192.69,0,MAD
2017-02-21,12192.69,12207.12,12158.17,12206.63,0,MAD
2017-02-22,12206.63,12207.49,11927.79,11954.08,0,MAD
2017-02-23,11954.08,11979.73,11714.76,11726.24,0,MAD
2017-02-24,11726.24,11792.04,11692.21,11777.37,0,MAD
2017-02-27,11777.37,11901.51,11777.37,11822.2,0,MAD
2017-02-28,11822.2,11933.45,11822.2,11926.49,0,MAD
2017-03-01,11926.49,11992.49,11870.8,11876.71,0,MAD
2017-03-02,11876.71,11967.31,11873.26,11967.24,0,MAD
2017-03-03,11967.24,11968.03,11917.45,11947.43,0,MAD
2017-03-06,11947.43,12016.92,11922.45,11978.1,0,MAD
2017-03-07,11978.1,11991.35,11855.25,11946.11,0,MAD
2017-03-08,11946.11,11966.84,11888.98,11914.24,0,MAD
2017-03-09,11914.24,11953.48,11904.36,11928.3,0,MAD
2017-03-10,11928.3,11969.1,11916.32,11935.03,0,MAD
2017-03-13,11935.03,11957.76,11893.72,11937.78,0,MAD
2017-03-14,11937.78,12044.54,11918.35,11996.23,0,MAD
