Date,Open,High,Low,Close,Volume,Currency
2009-02-23,10724.22,11021.7,10724.22,11007.98,0,MAD
2009-02-24,10989.19,11168.61,10869.62,11100.81,0,MAD
2009-02-25,11080.09,11328.31,11054.23,11298.77,0,MAD
2009-02-26,11279.49,11315.35,11204.73,11223.13,0,MAD
2009-02-27,11220.75,11250.44,11171.4,11209.37,0,MAD
2009-03-02,11279.73,11312.67,11213.75,11216.32,0,MAD
2009-03-03,11200.81,11232.49,11113.81,11113.81,0,MAD
2009-03-04,11063.77,11063.77,10942.54,11040.88,0,MAD
2009-03-05,11021.24,11155.88,10964.19,11155.88,0,MAD
2009-03-06,11155.81,11155.81,11058.0,11066.37,0,MAD
2009-03-09,11071.14,11105.09,11060.65,11072.7,0,MAD
2009-03-12,11005.16,11005.16,10945.78,10957.11,0,MAD
2009-03-13,10936.86,10972.82,10874.09,10877.95,0,MAD
2009-03-16,10950.58,11061.84,10945.14,11061.84,0,MAD
2009-03-17,11066.7,11069.37,10999.36,11029.66,0,MAD
2009-03-18,11028.16,11028.16,10955.07,10993.43,0,MAD
2009-03-19,10932.28,10959.12,10919.99,10936.41,0,MAD
2009-03-20,10934.83,10934.83,10759.76,10820.1,0,MAD
2009-03-23,10820.1,10828.96,10598.58,10598.58,0,MAD
2009-03-24,10594.1,10594.1,10378.12,10433.47,0,MAD
2009-03-25,10457.69,10540.79,10386.37,10531.46,0,MAD
2009-03-26,10539.4,10689.48,10539.4,10624.95,0,MAD
2009-03-27,10628.39,10678.86,10586.63,10628.29,0,MAD
2009-03-30,10624.17,10624.17,10379.36,10553.91,0,MAD
2009-03-31,10533.48,10533.48,10342.18,10402.09,0,MAD
2009-04-01,10385.65,10423.13,10363.25,10402.56,0,MAD
2009-04-02,10398.36,10470.53,10327.38,10470.19,0,MAD
2009-04-03,10475.22,10547.17,10475.22,10517.33,0,MAD
2009-04-06,10532.75,10581.34,10493.85,10567.12,0,MAD
2009-04-07,10576.52,10704.38,10536.09,10592.45,0,MAD
2009-04-08,10560.41,10622.05,10516.98,10622.05,0,MAD
2009-04-09,10624.27,10624.27,10524.74,10576.94,0,MAD
2009-04-10,10523.51,10557.17,10461.82,10485.14,0,MAD
2009-04-13,10508.81,10508.81,10436.22,10449.46,0,MAD
2009-04-14,10437.98,10531.88,10423.85,10531.88,0,MAD
2009-04-15,10548.14,10564.64,10524.68,10564.64,0,MAD
2009-04-16,10542.6,10634.2,10532.29,10634.2,0,MAD
2009-04-17,10608.1,10647.57,10593.24,10620.66,0,MAD
2009-04-20,10632.73,10652.19,10614.26,10627.68,0,MAD
2009-04-21,10643.49,10666.81,10610.67,10666.81,0,MAD
2009-04-22,10640.27,10650.48,10618.37,10650.48,0,MAD
2009-04-23,10684.83,10932.33,10671.24,10932.33,0,MAD
2009-04-24,10912.26,10967.65,10866.88,10967.65,0,MAD
2009-04-27,10962.28,10969.99,10889.64,10966.42,0,MAD
2009-04-28,10975.91,10977.55,10925.94,10974.8,0,MAD
2009-04-29,10935.72,10948.78,10895.25,10916.54,0,MAD
2009-04-30,10908.0,10937.91,10885.76,10937.91,0,MAD
2009-05-04,10952.04,10961.43,10907.9,10907.9,0,MAD
2009-05-05,10889.61,10942.92,10862.49,10895.94,0,MAD
2009-05-06,10878.13,10952.01,10858.99,10952.01,0,MAD
2009-05-07,10958.39,10972.66,10874.43,10972.66,0,MAD
2009-05-08,10970.4,11003.0,10930.76,10969.94,0,MAD
2009-05-11,10959.95,11071.59,10956.57,11054.38,0,MAD
2009-05-12,11085.63,11131.31,11084.31,11130.74,0,MAD
2009-05-13,11137.06,11175.12,11112.07,11174.62,0,MAD
2009-05-14,11162.85,11186.25,11098.14,11099.48,0,MAD
2009-05-15,11065.2,11096.05,11020.88,11074.61,0,MAD
2009-05-18,11058.55,11095.93,11025.46,11077.86,0,MAD
2009-05-19,11057.29,11149.34,11057.29,11149.34,0,MAD
2009-05-20,11169.94,11224.29,11139.53,11224.29,0,MAD
2009-05-21,11232.63,11262.92,11212.81,11240.02,0,MAD
2009-05-22,11240.79,11240.79,11152.47,11152.47,0,MAD
2009-05-25,11161.24,11161.24,10980.8,11027.49,0,MAD
2009-05-26,11026.49,11069.08,10986.24,11055.65,0,MAD
2009-05-27,11061.16,11145.8,11061.16,11112.92,0,MAD
2009-05-28,11143.85,11208.61,11141.75,11208.58,0,MAD
2009-05-29,11206.01,11269.96,11024.37,11024.37,0,MAD
2009-06-01,11034.08,11240.13,11034.08,11240.13,0,MAD
2009-06-02,11239.74,11291.48,11193.69,11291.48,0,MAD
2009-06-03,11283.71,11304.86,11230.41,11280.87,0,MAD
2009-06-04,11278.65,11292.88,11223.67,11269.89,0,MAD
2009-06-05,11272.84,11338.02,11269.98,11327.61,0,MAD
2009-06-08,11342.15,11406.56,11325.33,11383.76,0,MAD
2009-06-09,11399.16,11430.91,11327.13,11327.13,0,MAD
2009-06-10,11310.4,11323.68,11215.98,11269.88,0,MAD
2009-06-11,11202.55,11217.97,11128.65,11192.62,0,MAD
2009-06-12,11180.82,11345.1,11166.34,11326.3,0,MAD
2009-06-15,11325.14,11457.64,11285.28,11457.46,0,MAD
2009-06-16,11425.2,11600.02,11383.89,11600.02,0,MAD
2009-06-17,11614.05,11730.1,11614.05,11729.86,0,MAD
2009-06-18,11729.96,11767.36,11658.43,11658.43,0,MAD
2009-06-19,11620.61,11667.0,11608.02,11637.39,0,MAD
2009-06-22,11648.9,11739.33,11589.16,11594.35,0,MAD
2009-06-23,11610.08,11629.97,11558.26,11628.96,0,MAD
2009-06-24,11594.23,11673.85,11554.75,11672.91,0,MAD
2009-06-25,11669.99,11669.99,11578.22,11578.22,0,MAD
2009-06-26,11554.1,11615.08,11539.48,11615.08,0,MAD
2009-06-29,11610.87,11630.97,11564.08,11630.44,0,MAD
2009-06-30,11610.76,11610.76,11556.22,11588.55,0,MAD
2009-07-01,11577.49,11577.49,11506.91,11523.65,0,MAD
2009-07-02,11525.92,11525.92,11377.26,11403.72,0,MAD
2009-07-03,11374.48,11374.48,11262.01,11315.36,0,MAD
2009-07-06,11305.4,11341.22,11253.55,11280.37,0,MAD
2009-07-07,11281.13,11369.11,11221.74,11336.84,0,MAD
2009-07-08,11320.19,11391.79,11279.14,11391.79,0,MAD
2009-07-09,11367.15,11380.38,11309.12,11309.12,0,MAD
2009-07-10,11312.34,11357.58,11279.27,11350.54,0,MAD
2009-07-13,11348.74,11361.01,11305.24,11336.48,0,MAD
2009-07-14,11294.82,11294.82,11185.08,11200.56,0,MAD
2009-07-15,11184.1,11184.1,11024.72,11024.72,0,MAD
2009-07-16,11005.7,11048.21,10938.89,11048.21,0,MAD
2009-07-17,11042.9,11066.46,11018.64,11041.98,0,MAD
2009-07-20,11036.39,11094.79,10985.25,10985.25,0,MAD
2009-07-21,10956.83,10959.31,10889.35,10959.31,0,MAD
2009-07-22,10979.53,10989.06,10938.73,10949.81,0,MAD
2009-07-23,10992.61,11076.72,10992.61,11072.17,0,MAD
2009-07-24,11079.88,11082.35,11011.39,11068.78,0,MAD
2009-07-27,11057.94,11106.02,11016.47,11098.07,0,MAD
2009-07-28,11065.94,11104.41,11003.75,11104.34,0,MAD
2009-07-29,11054.72,11081.82,11032.01,11076.14,0,MAD
2009-07-31,11062.99,11086.36,10971.66,10971.66,0,MAD
2009-08-03,11037.14,11037.14,10942.55,11031.32,0,MAD
2009-08-04,11007.67,11007.67,10949.46,10970.81,0,MAD
2009-08-05,10953.14,10976.51,10891.12,10976.45,0,MAD
2009-08-06,11173.93,11178.02,11076.5,11092.15,0,MAD
2009-08-07,11043.45,11122.97,11027.86,11122.97,0,MAD
2009-08-10,11111.12,11112.14,11054.7,11087.33,0,MAD
2009-08-11,11098.37,11107.68,11012.62,11036.7,0,MAD
2009-08-12,11048.4,11054.51,10901.45,10915.46,0,MAD
2009-08-13,10911.23,10989.66,10911.23,10989.66,0,MAD
2009-08-17,11064.78,11087.55,10975.53,11009.42,0,MAD
2009-08-18,11011.53,11083.02,11003.95,11055.29,0,MAD
2009-08-19,11042.88,11073.27,10972.86,10988.72,0,MAD
2009-08-24,11089.83,11090.97,11001.65,11064.92,0,MAD
2009-08-25,11022.71,11048.24,11011.03,11045.3,0,MAD
2009-08-26,11003.32,11086.3,11003.32,11086.3,0,MAD
2009-08-27,11088.59,11129.62,11051.5,11108.6,0,MAD
2009-08-28,11110.01,11113.33,11067.32,11089.56,0,MAD
2009-08-31,11089.11,11123.15,11048.73,11048.73,0,MAD
2009-09-01,11042.16,11092.8,11004.15,11044.82,0,MAD
2009-09-02,11039.98,11052.14,10939.22,10939.22,0,MAD
2009-09-03,10933.7,10933.7,10770.89,10770.94,0,MAD
