Séance;VOLUME MC;VOLUME MB;VOLUME INTRODUCTIONS;VOLUME_OFFRES PUBLIQUES;VOLUME TRANSFERTS;VOLUME APPORTS;VOLUME AUG CAPITAL;TOTAL
30/08/2002;7606794,4;881700;0;0;22752;0;0;8511246,4
29/08/2002;5221928,1;0;0;0;0;0;0;5221928,1
28/08/2002;17530330,4;2025000;0;0;0;0;0;19555330,4
27/08/2002;6941463;0;0;0;0;0;0;6941463
26/08/2002;4037414,7;0;0;0;0;0;0;4037414,7
23/08/2002;5124496,8;77112;0;0;0;0;0;5201608,8
22/08/2002;3164175,86;0;0;0;0;0;0;3164175,86
19/08/2002;2751919,4;0;0;0;0;0;0;2751919,4
16/08/2002;3834282,3;0;0;0;0;0;0;3834282,3
15/08/2002;2345087,75;0;0;0;0;0;0;2345087,75
13/08/2002;5959727,2;0;0;0;0;0;0;5959727,2
12/08/2002;2627943,8;0;0;0;0;0;0;2627943,8
09/08/2002;5816005,2;0;0;0;0;0;0;5816005,2
08/08/2002;6469742,4;0;0;0;0;0;0;6469742,4
07/08/2002;6165011,98;1441600;0;0;0;0;0;7606611,98
06/08/2002;5523361;0;0;0;0;0;0;5523361
05/08/2002;5494367,3;2174000;0;0;0;0;0;7668367,3
02/08/2002;21270828,8;5602500;0;0;167865,5;0;0;27041194,3
01/08/2002;15933232,3;1556100;0;0;411,76;0;0;17489744,06
31/07/2002;15780188,05;0;0;0;84388,8;0;0;15864576,85
29/07/2002;5506128;0;0;0;492150;0;0;5998278
26/07/2002;17682125;977130;0;0;0;0;0;18659255
25/07/2002;6363613,36;578000;0;0;0;0;0;6941613,36
24/07/2002;10460286,08;0;0;0;0;0;0;10460286,08
23/07/2002;9398401,72;1828230;0;0;0;0;0;11226631,72
22/07/2002;6859936,18;7745688;0;0;0;0;0;14605624,18
19/07/2002;20732272,41;3307200;0;0;0;0;0;24039472,41
18/07/2002;17309679,5;0;0;0;0;0;0;17309679,5
17/07/2002;13940742;2193090;0;0;0;0;0;16133832
16/07/2002;10023707,6;7613135;0;0;0;0;0;17636842,6
15/07/2002;4314100,76;0;0;0;0;0;0;4314100,76
12/07/2002;12141643,1;231000;0;0;0;0;0;12372643,1
11/07/2002;7998937,38;78320;0;0;125125,8;0;0;8202383,18
10/07/2002;10281897,12;0;0;0;0;0;0;10281897,12
09/07/2002;51529109,65;166632500;0;0;0;0;0;218161609,7
08/07/2002;2460907,48;0;0;0;11454,3;0;0;2472361,78
05/07/2002;13911797,06;6166548;0;0;56300;0;0;20134645,06
04/07/2002;8279913,5;90900;0;0;0;0;0;8370813,5
03/07/2002;204743834,4;2677530;0;0;0;0;0;207421364,4
02/07/2002;8735459,2;0;0;0;0;0;0;8735459,2
01/07/2002;4580464,3;5780323,44;0;0;37158;0;0;10397945,74
28/06/2002;29615315,96;27465217;0;0;0;0;0;57080532,96
27/06/2002;19211445,1;15500000;0;0;0;0;0;34711445,1
26/06/2002;9501462,5;0;0;583421300;0;0;0;592922762,5
25/06/2002;5681232;0;0;0;0;0;0;5681232
24/06/2002;10080152,86;3671920;0;0;0;0;0;13752072,86
21/06/2002;12902944,42;2444000;0;0;0;0;0;15346944,42
20/06/2002;11300035,61;0;0;0;0;0;0;11300035,61
19/06/2002;5827227,39;1971520;0;0;0;0;0;7798747,39
18/06/2002;8236915,95;7780800;0;0;477000;0;0;16494715,95
17/06/2002;5889428,5;0;0;0;0;0;0;5889428,5
14/06/2002;13449338,08;0;0;0;0;0;0;13449338,08
13/06/2002;19791037;1830000;0;0;22200;0;0;21643237
12/06/2002;18938847,5;2805000;0;0;32400;0;0;21776247,5
11/06/2002;7738226,95;0;0;0;36696;0;0;7774922,95
10/06/2002;9223837,55;0;0;0;0;0;0;9223837,55
07/06/2002;5997848,9;1079000;0;0;557117;0;0;7633965,9
06/06/2002;7071270,8;0;0;0;10621,2;0;0;7081892
05/06/2002;16561937,55;30318800;0;0;120000;0;0;47000737,55
04/06/2002;11527993,82;2107296;0;0;0;0;0;13635289,82
03/06/2002;9649675,5;0;0;0;0;0;0;9649675,5
31/05/2002;10011374,25;13917620;0;0;928700;0;0;24857694,25
30/05/2002;11244447,76;517440;0;0;0;0;0;11761887,76
29/05/2002;12736477,7;1853000;0;0;144494;0;0;14733971,7
28/05/2002;21731402,11;6845690;0;0;0;0;0;28577092,11
27/05/2002;6053431,05;4626600;0;0;86240;0;0;10766271,05
24/05/2002;8962796,2;1816000;0;0;0;0;0;10778796,2
23/05/2002;12659507,64;0;0;0;84800;0;0;12744307,64
22/05/2002;19746036,8;3662880;0;0;0;0;0;23408916,8
21/05/2002;29272331,74;1883110;0;0;0;0;0;31155441,74
20/05/2002;11066461,9;11952000;0;0;0;0;0;23018461,9
17/05/2002;6990559,25;1470000;0;0;0;0;0;8460559,25
16/05/2002;16494778,75;6171000;0;0;0;0;0;22665778,75
15/05/2002;15814012,8;103346132;0;0;7036;0;0;119167180,8
14/05/2002;26535901,75;15986947,48;0;0;30070;0;0;42552919,23
13/05/2002;12016943,5;264378;0;0;0;0;0;12281321,5
10/05/2002;10359492,2;15840967;0;0;1392940;0;0;27593399,2
09/05/2002;20433907,6;4835973,15;0;0;2324300;0;0;27594180,75
08/05/2002;16445045,3;3162807;0;0;2273514;0;0;21881366,3
07/05/2002;13320858,5;0;0;0;1189160;0;0;14510018,5
06/05/2002;22654666,2;3580000;0;0;593634;0;0;26828300,2
03/05/2002;13250655,85;36517961,3;0;0;411808;0;0;50180425,15
02/05/2002;11418470,5;320000;0;0;1990039;0;0;13728509,5
30/04/2002;22121230,45;0;0;0;489056;0;0;22610286,45
29/04/2002;10164722,86;338000;0;0;3472547;0;0;13975269,86
26/04/2002;16887872,9;593536800;0;0;33604;0;0;610458276,9
25/04/2002;16092568,24;18866235;0;0;1743915;0;0;36702718,24
24/04/2002;17879414,9;0;0;0;378725;0;0;18258139,9
23/04/2002;18567552,14;6629500;0;0;1114060;0;0;26311112,14
22/04/2002;9594131,3;3591597,6;0;0;11610;0;0;13197338,9
19/04/2002;9072252,2;1111500;0;0;338580;0;0;10522332,2
18/04/2002;12060103,75;2780000;0;0;109000;0;0;14949103,75
17/04/2002;25996689,6;1730116;0;0;0;0;0;27726805,6
16/04/2002;20210781,75;11802660;0;0;236800;0;0;32250241,75
15/04/2002;14116994,15;8412960;0;0;0;0;0;22529954,15
12/04/2002;17428796,85;2873070;0;0;0;0;0;20301866,85
11/04/2002;5914561,5;7126999,36;0;0;0;0;0;13041560,86
10/04/2002;11525189,8;0;0;0;0;0;0;11525189,8
09/04/2002;9687905,4;17463200;0;0;619585;0;0;27770690,4
08/04/2002;18509754,1;622720;0;0;0;0;0;19132474,1
05/04/2002;20062661,35;25522800;0;0;0;0;0;45585461,35
04/04/2002;24591207,7;7940000;0;0;0;0;0;32531207,7
03/04/2002;12284150,3;956000;0;0;85260;0;0;13325410,3
02/04/2002;42217123,9;7950000;0;0;0;0;0;50167123,9
01/04/2002;13185473,85;9145516,57;0;0;0;0;0;22330990,42
29/03/2002;14661829,66;6203428;0;0;0;0;0;20865257,66
28/03/2002;15572414,6;7140160;0;0;0;0;0;22712574,6
27/03/2002;13763077,22;0;0;0;0;0;0;13763077,22
26/03/2002;14353236,4;17335800;0;0;20244,4;0;0;31709280,8
25/03/2002;19608979,37;773850;0;0;136250;0;0;20519079,37
22/03/2002;22958893,05;4395500;0;0;0;0;0;27354393,05
21/03/2002;14280796,3;4279000;0;0;444210;0;0;19004006,3
20/03/2002;25314032,45;6996000;0;0;882778;0;0;33192810,45
19/03/2002;19296242,05;0;0;0;193333;0;0;19489575,05
18/03/2002;14461715,3;3072000;0;0;120130;0;0;17653845,3
15/03/2002;12289740,2;1045500;0;0;83450;0;0;13418690,2
