,Séance,VOLUME MC,VOLUME MB,VOLUME INTRODUCTIONS,VOLUME_OFFRES PUBLIQUES,VOLUME TRANSFERTS,VOLUME APPORTS,VOLUME AUG CAPITAL,TOTAL
67,2002-09-24,12856129.4,372600.0,0.0,0.0,0.0,0.0,0.0,13228729.4
68,2002-09-23,4846555.47,0.0,0.0,0.0,0.0,0.0,0.0,4846555.47
69,2002-09-20,6764149.88,0.0,0.0,0.0,0.0,0.0,0.0,6764149.88
70,2002-09-19,3355568.12,0.0,0.0,0.0,43260.0,0.0,0.0,3398828.12
71,2002-09-18,5061228.68,0.0,0.0,0.0,0.0,0.0,0.0,5061228.68
72,2002-09-17,6842391.44,118184.0,0.0,0.0,25200.0,0.0,0.0,6985775.44
73,2002-09-16,5946051.7,0.0,0.0,0.0,0.0,0.0,0.0,5946051.7
74,2002-09-13,11512085.8,5184099.0,0.0,0.0,422958.0,0.0,0.0,17119142.8
75,2002-09-12,7231827.7,1554860.0,0.0,0.0,31800.0,0.0,0.0,8818487.7
76,2002-09-11,8777499.0,28178000.0,0.0,0.0,5085.0,0.0,0.0,36960584.0
77,2002-09-10,6452641.8,8083150.0,0.0,0.0,1410.5,0.0,0.0,14537202.3
78,2002-09-09,4716900.0,10500000.0,0.0,0.0,178882.0,0.0,0.0,15395782.0
79,2002-09-06,9942636.0,0.0,0.0,0.0,23121.0,0.0,0.0,9965757.0
80,2002-09-05,11063867.2,0.0,0.0,0.0,0.0,0.0,0.0,11063867.2
81,2002-09-04,9239266.0,0.0,0.0,0.0,0.0,0.0,0.0,9239266.0
82,2002-09-03,8112099.0,7000000.0,0.0,0.0,60214.5,0.0,0.0,15172313.5
83,2002-09-02,2120946.25,0.0,0.0,0.0,0.0,0.0,0.0,2120946.25
84,2002-08-30,7606794.4,881700.0,0.0,0.0,22752.0,0.0,0.0,8511246.4
85,2002-08-29,5221928.1,0.0,0.0,0.0,0.0,0.0,0.0,5221928.1
86,2002-08-28,17530330.4,2025000.0,0.0,0.0,0.0,0.0,0.0,19555330.4
87,2002-08-27,6941463.0,0.0,0.0,0.0,0.0,0.0,0.0,6941463.0
88,2002-08-26,4037414.7,0.0,0.0,0.0,0.0,0.0,0.0,4037414.7
89,2002-08-23,5124496.8,77112.0,0.0,0.0,0.0,0.0,0.0,5201608.8
90,2002-08-22,3164175.86,0.0,0.0,0.0,0.0,0.0,0.0,3164175.86
91,2002-08-19,2751919.4,0.0,0.0,0.0,0.0,0.0,0.0,2751919.4
92,2002-08-16,3834282.3,0.0,0.0,0.0,0.0,0.0,0.0,3834282.3
93,2002-08-15,2345087.75,0.0,0.0,0.0,0.0,0.0,0.0,2345087.75
94,2002-08-13,5959727.2,0.0,0.0,0.0,0.0,0.0,0.0,5959727.2
95,2002-08-12,2627943.8,0.0,0.0,0.0,0.0,0.0,0.0,2627943.8
96,2002-08-09,5816005.2,0.0,0.0,0.0,0.0,0.0,0.0,5816005.2
97,2002-08-08,6469742.4,0.0,0.0,0.0,0.0,0.0,0.0,6469742.4
98,2002-08-07,6165011.98,1441600.0,0.0,0.0,0.0,0.0,0.0,7606611.98
99,2002-08-06,5523361.0,0.0,0.0,0.0,0.0,0.0,0.0,5523361.0
100,2002-08-05,5494367.3,2174000.0,0.0,0.0,0.0,0.0,0.0,7668367.3
101,2002-08-02,21270828.8,5602500.0,0.0,0.0,167865.5,0.0,0.0,27041194.3
102,2002-08-01,15933232.3,1556100.0,0.0,0.0,411.76,0.0,0.0,17489744.06
103,2002-07-31,15780188.05,0.0,0.0,0.0,84388.8,0.0,0.0,15864576.85
104,2002-07-29,5506128.0,0.0,0.0,0.0,492150.0,0.0,0.0,5998278.0
105,2002-07-26,17682125.0,977130.0,0.0,0.0,0.0,0.0,0.0,18659255.0
106,2002-07-25,6363613.36,578000.0,0.0,0.0,0.0,0.0,0.0,6941613.36
107,2002-07-24,10460286.08,0.0,0.0,0.0,0.0,0.0,0.0,10460286.08
108,2002-07-23,9398401.72,1828230.0,0.0,0.0,0.0,0.0,0.0,11226631.72
109,2002-07-22,6859936.18,7745688.0,0.0,0.0,0.0,0.0,0.0,14605624.18
110,2002-07-19,20732272.41,3307200.0,0.0,0.0,0.0,0.0,0.0,24039472.41
111,2002-07-18,17309679.5,0.0,0.0,0.0,0.0,0.0,0.0,17309679.5
112,2002-07-17,13940742.0,2193090.0,0.0,0.0,0.0,0.0,0.0,16133832.0
113,2002-07-16,10023707.6,7613135.0,0.0,0.0,0.0,0.0,0.0,17636842.6
114,2002-07-15,4314100.76,0.0,0.0,0.0,0.0,0.0,0.0,4314100.76
115,2002-07-12,12141643.1,231000.0,0.0,0.0,0.0,0.0,0.0,12372643.1
116,2002-07-11,7998937.38,78320.0,0.0,0.0,125125.8,0.0,0.0,8202383.18
117,2002-07-10,10281897.12,0.0,0.0,0.0,0.0,0.0,0.0,10281897.12
118,2002-07-09,51529109.65,166632500.0,0.0,0.0,0.0,0.0,0.0,218161609.7
119,2002-07-08,2460907.48,0.0,0.0,0.0,11454.3,0.0,0.0,2472361.78
120,2002-07-05,13911797.06,6166548.0,0.0,0.0,56300.0,0.0,0.0,20134645.06
121,2002-07-04,8279913.5,90900.0,0.0,0.0,0.0,0.0,0.0,8370813.5
