,MACD_12_26_9,STOCHk_14_3_3,MOM_10,RSI_14,SMA_10,ROC_10,BBB_5_2.0
0,0.6116971154815699,0.13378683105173553,0.66539304390354,0.3344095638130889,0.058493855851258936,0.5647053948553534,0.06525917125613434
1,0.6085019651039237,0.06236266371485486,0.6611724540085022,0.2623695446284506,0.05779719700161434,0.5525013036538536,0.07676190940752502
2,0.607670303522423,0.18264537245910242,0.6683392272675971,0.4014973741335236,0.05735949134388635,0.5730656024350474,0.062305641611147086
3,0.6069395525996656,0.2392169291334053,0.6704201309205823,0.3924677450943636,0.056996973866882295,0.5789720782557867,0.036310359356521715
4,0.6060274170803177,0.3212689020381341,0.6681276099469545,0.3691307712869967,0.05655162195348756,0.5723735065702061,0.031991388584088044
5,0.6063054123468941,0.33763444375429263,0.6692374252285467,0.4394711590549046,0.05614637040314546,0.5756575876257448,0.03583515411276728
6,0.6065172455469682,0.36269656865251154,0.6701074075467438,0.4326657880636522,0.055772553459433716,0.5781203940770737,0.015349920151091889
7,0.6062214757626213,0.37946690621073176,0.6715134870772356,0.3988080498386276,0.05544954163670823,0.582074421370256,0.01675780290509684
8,0.606224363689262,0.35579580840418795,0.672705597983522,0.40976250404631864,0.05516960372090596,0.5855093695833248,0.017003776827213754
9,0.6063316804880305,0.33767149785100187,0.678327564801926,0.40959384860275216,0.05509280133065236,0.6017716829953933,0.013048570390797789
10,0.6064172636478488,0.36194796102127924,0.6793903540122643,0.4023521879587506,0.05505440013552565,0.6048686690864916,0.009235184571535366
11,0.6066344500640083,0.3823041417007505,0.6849864564914787,0.40703656972162783,0.05521819992358851,0.6213159603120476,6.601004666711898e-05
12,0.6072113279879325,0.4541676620571738,0.6803167676159663,0.43944702401984975,0.055213272336603225,0.6075775581464645,0.004136477504133783
13,0.6080083914373351,0.6317553643288726,0.6818380610210301,0.4655378483556584,0.05526331283202279,0.6120268214215483,0.010305707523014306
