Date,Open,High,Low,Close,Volume,Currency
2002-03-08,3649.08,3661.27,3643.81,3661.27,0,MAD
2002-03-11,3657.84,3659.42,3653.85,3657.17,0,MAD
2002-03-12,3652.8,3655.25,3649.35,3650.96,0,MAD
2002-03-13,3641.39,3654.59,3641.39,3654.59,0,MAD
2002-03-14,3647.91,3672.77,3647.91,3662.64,0,MAD
2002-03-15,3652.41,3652.41,3652.41,3652.41,0,MAD
2002-03-18,3635.78,3644.5,3635.78,3644.16,0,MAD
2002-03-19,3641.68,3665.68,3637.67,3665.68,0,MAD
2002-03-20,3662.49,3682.0,3662.49,3682.0,0,MAD
2002-03-21,3669.23,3671.07,3659.47,3665.22,0,MAD
2002-03-22,3645.79,3654.16,3643.31,3654.16,0,MAD
2002-03-25,3644.9,3647.49,3644.03,3647.35,0,MAD
2002-03-26,3630.14,3637.35,3630.14,3633.77,0,MAD
2002-03-27,3623.23,3637.28,3623.23,3637.28,0,MAD
2002-03-28,3636.94,3644.33,3636.94,3644.03,0,MAD
2002-03-29,3640.44,3640.44,3634.03,3634.88,0,MAD
2002-04-01,3634.15,3640.36,3626.83,3626.83,0,MAD
2002-04-02,3625.83,3645.65,3625.83,3645.65,0,MAD
2002-04-03,3639.0,3650.62,3636.63,3648.98,0,MAD
2002-04-04,3645.0,3652.39,3644.29,3652.11,0,MAD
2002-04-05,3644.41,3649.31,3643.18,3647.95,0,MAD
2002-04-08,3618.74,3644.51,3616.96,3644.51,0,MAD
2002-04-09,3637.36,3647.32,3637.36,3645.58,0,MAD
2002-04-10,3644.21,3645.71,3638.54,3641.7,0,MAD
2002-04-11,3634.69,3639.07,3633.48,3636.09,0,MAD
2002-04-12,3628.38,3638.45,3628.38,3638.45,0,MAD
2002-04-15,3632.91,3648.47,3632.91,3648.47,0,MAD
2002-04-16,3635.89,3647.74,3631.52,3646.68,0,MAD
2002-04-17,3636.9,3654.6,3636.42,3654.45,0,MAD
2002-04-18,3641.78,3642.22,3631.63,3637.33,0,MAD
2002-04-19,3607.08,3615.12,3595.57,3606.71,0,MAD
2002-04-22,3601.31,3606.52,3600.3,3600.3,0,MAD
2002-04-23,3591.37,3594.23,3587.95,3587.95,0,MAD
2002-04-24,3573.33,3578.22,3556.17,3560.35,0,MAD
2002-04-25,3549.06,3567.4,3541.2,3551.43,0,MAD
2002-04-26,3543.72,3547.82,3535.98,3535.98,0,MAD
2002-04-29,3533.17,3538.62,3528.88,3528.88,0,MAD
2002-04-30,3515.2,3528.75,3508.07,3513.68,0,MAD
2002-05-02,3523.33,3523.33,3510.86,3510.86,0,MAD
2002-05-03,3499.83,3507.55,3498.65,3502.36,0,MAD
2002-05-06,3496.36,3508.5,3491.89,3505.17,0,MAD
2002-05-07,3497.68,3498.12,3477.72,3481.35,0,MAD
2002-05-08,3468.3,3476.39,3452.77,3458.99,0,MAD
2002-05-09,3418.93,3452.48,3417.88,3447.02,0,MAD
2002-05-10,3440.44,3445.37,3419.24,3419.24,0,MAD
2002-05-13,3421.26,3427.08,3421.25,3427.08,0,MAD
2002-05-14,3420.21,3422.85,3414.85,3421.79,0,MAD
2002-05-15,3418.74,3418.74,3410.92,3417.85,0,MAD
2002-05-16,3416.7,3435.43,3416.7,3435.43,0,MAD
2002-05-17,3435.74,3438.5,3427.31,3427.31,0,MAD
2002-05-20,3418.91,3428.77,3418.91,3427.87,0,MAD
2002-05-21,3421.19,3422.81,3416.8,3418.76,0,MAD
2002-05-22,3413.49,3424.33,3413.49,3421.53,0,MAD
2002-05-23,3416.66,3423.16,3408.02,3422.81,0,MAD
2002-05-24,3426.18,3426.49,3419.8,3421.17,0,MAD
2002-05-27,3412.72,3418.51,3412.16,3418.08,0,MAD
2002-05-28,3413.12,3414.25,3407.75,3411.48,0,MAD
2002-05-29,3402.32,3405.17,3391.68,3405.17,0,MAD
2002-05-30,3405.09,3422.49,3404.88,3414.67,0,MAD
2002-05-31,3414.87,3422.89,3413.43,3422.32,0,MAD
2002-06-03,3404.81,3410.82,3394.58,3394.58,0,MAD
2002-06-04,3392.3,3392.61,3385.96,3390.47,0,MAD
2002-06-05,3384.02,3384.02,3374.75,3382.4,0,MAD
2002-06-06,3369.38,3375.7,3365.61,3375.7,0,MAD
2002-06-07,3365.41,3368.1,3362.25,3362.77,0,MAD
2002-06-10,3272.33,3365.78,3358.15,3365.7,0,MAD
2002-06-11,3360.33,3361.35,3344.57,3348.77,0,MAD
2002-06-12,3338.27,3338.27,3316.1,3320.72,0,MAD
2002-06-13,3314.51,3328.29,3314.51,3328.09,0,MAD
2002-06-14,3323.48,3337.71,3319.46,3332.24,0,MAD
2002-06-17,3313.04,3322.24,3312.67,3318.05,0,MAD
2002-06-18,3313.88,3316.32,3307.07,3315.62,0,MAD
2002-06-19,3315.0,3315.43,3310.91,3310.91,0,MAD
2002-06-20,3303.59,3315.21,3303.54,3313.1,0,MAD
2002-06-21,3293.84,3295.83,3291.91,3291.91,0,MAD
2002-06-24,3282.53,3298.28,3277.72,3298.28,0,MAD
2002-06-25,3298.03,3306.06,3294.63,3306.06,0,MAD
2002-06-26,3306.03,3331.26,3306.03,3331.26,0,MAD
2002-06-27,3322.06,3337.15,3322.06,3337.15,0,MAD
2002-06-28,3319.01,3361.75,3318.2,3344.99,0,MAD
2002-07-01,3298.47,3298.64,3283.22,3284.78,0,MAD
2002-07-02,3274.09,3282.17,3230.9,3239.25,0,MAD
2002-07-03,3192.81,3195.74,3182.11,3182.11,0,MAD
2002-07-04,3158.73,3158.73,3132.42,3142.91,0,MAD
2002-07-05,3128.23,3131.14,3115.24,3119.57,0,MAD
2002-07-08,3132.82,3135.69,3111.41,3111.41,0,MAD
2002-07-09,3087.99,3114.25,3087.56,3104.86,0,MAD
2002-07-10,3089.83,3112.07,3084.42,3112.07,0,MAD
2002-07-11,3109.06,3122.19,3101.83,3122.19,0,MAD
2002-07-12,3113.71,3117.92,3090.87,3091.14,0,MAD
2002-07-15,3083.5,3091.0,3081.66,3091.0,0,MAD
2002-07-16,3071.98,3071.98,3049.92,3049.92,0,MAD
2002-07-17,3036.11,3048.49,3028.58,3048.21,0,MAD
2002-07-18,3002.26,3031.23,3002.26,3016.79,0,MAD
