Column1;Date;Open;High;Low;Close;Volume;Currency;IS
54;22/03/2002;3645.79;3654.16;3643.31;3654.16;0;MAD;502.6486401911341
55;25/03/2002;3644.9;3647.49;3644.03;3647.35;0;MAD;498.36247775481235
56;26/03/2002;3630.14;3637.35;3630.14;3633.77;0;MAD;493.9074590779296
57;27/03/2002;3623.23;3637.28;3623.23;3637.28;0;MAD;489.53375542304315
58;28/03/2002;3636.94;3644.33;3636.94;3644.03;0;MAD;485.94313968362377
59;29/03/2002;3640.44;3640.44;3634.03;3634.88;0;MAD;484.7851149265838
60;01/04/2002;3634.15;3640.36;3626.83;3626.83;0;MAD;487.66929605292387
61;02/04/2002;3625.83;3645.65;3625.83;3645.65;0;MAD;483.29956636586655
62;03/04/2002;3639.0;3650.62;3636.63;3648.98;0;MAD;479.8399725237884
63;04/04/2002;3645.0;3652.39;3644.29;3652.11;0;MAD;480.07030922303755
64;05/04/2002;3644.41;3649.31;3643.18;3647.95;0;MAD;475.3224996383724
65;08/04/2002;3618.74;3644.51;3616.96;3644.51;0;MAD;476.92397889977616
66;09/04/2002;3637.36;3647.32;3637.36;3645.58;0;MAD;474.94687664865864
67;10/04/2002;3644.21;3645.71;3638.54;3641.7;0;MAD;474.9198872843096
68;11/04/2002;3634.69;3639.07;3633.48;3636.09;0;MAD;478.02718811573703
69;12/04/2002;3628.38;3638.45;3628.38;3638.45;0;MAD;477.2766046216955
70;15/04/2002;3632.91;3648.47;3632.91;3648.47;0;MAD;476.4426575562902
71;16/04/2002;3635.89;3647.74;3631.52;3646.68;0;MAD;476.9024053352591
72;17/04/2002;3636.9;3654.6;3636.42;3654.45;0;MAD;479.7226806434135
73;18/04/2002;3641.78;3642.22;3631.63;3637.33;0;MAD;481.25374763177336
74;19/04/2002;3607.08;3615.12;3595.57;3606.71;0;MAD;484.91578635395655
75;22/04/2002;3601.31;3606.52;3600.3;3600.3;0;MAD;483.64511044055666
76;23/04/2002;3591.37;3594.23;3587.95;3587.95;0;MAD;483.10685411769
77;24/04/2002;3573.33;3578.22;3556.17;3560.35;0;MAD;483.01540944591676
78;25/04/2002;3549.06;3567.4;3541.2;3551.43;0;MAD;483.96627971390916
79;26/04/2002;3543.72;3547.82;3535.98;3535.98;0;MAD;488.79522616484877
80;29/04/2002;3533.17;3538.62;3528.88;3528.88;0;MAD;483.4289017998944
81;30/04/2002;3515.2;3528.75;3508.07;3513.68;0;MAD;482.1191242532824
82;02/05/2002;3523.33;3523.33;3510.86;3510.86;0;MAD;478.117162796273
83;03/05/2002;3499.83;3507.55;3498.65;3502.36;0;MAD;476.6805546988271
84;06/05/2002;3496.36;3508.5;3491.89;3505.17;0;MAD;473.7667980378076
85;07/05/2002;3497.68;3498.12;3477.72;3481.35;0;MAD;473.9559574170507
86;08/05/2002;3468.3;3476.39;3452.77;3458.99;0;MAD;470.99995449916213
87;09/05/2002;3418.93;3452.48;3417.88;3447.02;0;MAD;466.72271783442585
88;10/05/2002;3440.44;3445.37;3419.24;3419.24;0;MAD;465.7084147372771
89;13/05/2002;3421.26;3427.08;3421.25;3427.08;0;MAD;464.68140544879026
90;14/05/2002;3420.21;3422.85;3414.85;3421.79;0;MAD;464.89030238550777
91;15/05/2002;3418.74;3418.74;3410.92;3417.85;0;MAD;463.7077286854622
92;16/05/2002;3416.7;3435.43;3416.7;3435.43;0;MAD;462.5669315186436
93;17/05/2002;3435.74;3438.5;3427.31;3427.31;0;MAD;463.1489815245685
94;20/05/2002;3418.91;3428.77;3418.91;3427.87;0;MAD;460.4379720234127
95;21/05/2002;3421.19;3422.81;3416.8;3418.76;0;MAD;461.0186645092096
96;22/05/2002;3413.49;3424.33;3413.49;3421.53;0;MAD;464.88167589555644
97;23/05/2002;3416.66;3423.16;3408.02;3422.81;0;MAD;475.7751241235011
98;24/05/2002;3426.18;3426.49;3419.8;3421.17;0;MAD;478.2219957115841
99;27/05/2002;3412.72;3418.51;3412.16;3418.08;0;MAD;481.5072183292173
100;28/05/2002;3413.12;3414.25;3407.75;3411.48;0;MAD;471.7133210156111
101;29/05/2002;3402.32;3405.17;3391.68;3405.17;0;MAD;462.1948699654697
102;30/05/2002;3405.09;3422.49;3404.88;3414.67;0;MAD;449.9685672087788
103;31/05/2002;3414.87;3422.89;3413.43;3422.32;0;MAD;441.3904757963138
104;03/06/2002;3404.81;3410.82;3394.58;3394.58;0;MAD;437.4351385752437
105;04/06/2002;3392.3;3392.61;3385.96;3390.47;0;MAD;432.1257915717721
106;05/06/2002;3384.02;3384.02;3374.75;3382.4;0;MAD;426.76198530641926
107;06/06/2002;3369.38;3375.7;3365.61;3375.7;0;MAD;421.56740562225957
108;07/06/2002;3365.41;3368.1;3362.25;3362.77;0;MAD;419.8329321736738
109;10/06/2002;3272.33;3365.78;3358.15;3365.7;0;MAD;410.90634281479777
110;11/06/2002;3360.33;3361.35;3344.57;3348.77;0;MAD;415.30904918535106
111;12/06/2002;3338.27;3338.27;3316.1;3320.72;0;MAD;412.29975658360064
112;13/06/2002;3314.51;3328.29;3314.51;3328.09;0;MAD;417.2902845623697
